{'date': '2024-12-06 03:24:16.356147', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:24:17.122897', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:24:17.506475', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:24:17.625759', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:24:17.942919', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:24:18.915454', 'ip': '127.0.0.1', 'path': '', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:24:19.035694', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:24:19.287333', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:25:34.512711', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:25:35.505260', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:25:36.661500', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:25:36.860693', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:25:37.139912', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:25:38.118426', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:25:38.755429', 'ip': '127.0.0.1', 'path': '', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:25:38.879385', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:25:38.909206', 'ip': '127.0.0.1', 'path': 'favicon.ico', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:25:41.267040', 'ip': '127.0.0.1', 'path': '', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:25:41.384527', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:09.573516', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:10.461216', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:11.132757', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:11.518638', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:11.585051', 'ip': '127.0.0.1', 'path': 'success.txt?ipv6', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:11.590305', 'ip': '127.0.0.1', 'path': 'success.txt?ipv4', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:11.794954', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:12.133780', 'ip': '127.0.0.1', 'path': '', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:12.671242', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:13.397181', 'ip': '127.0.0.1', 'path': 'success.txt?ipv4', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:13.398957', 'ip': '127.0.0.1', 'path': 'success.txt?ipv6', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:36.525740', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:41.140668', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:56.511041', 'ip': '127.0.0.1', 'path': 'success.txt?ipv4', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:56.513623', 'ip': '127.0.0.1', 'path': 'success.txt?ipv6', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:58.292905', 'ip': '127.0.0.1', 'path': 'success.txt?ipv4', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:26:58.296602', 'ip': '127.0.0.1', 'path': 'success.txt?ipv6', 'body': '', 'cookie': '', 'is_abnormal': 1}
{'date': '2024-12-06 03:27:06.530606', 'ip': '127.0.0.1', 'path': '443', 'body': '', 'cookie': '', 'is_abnormal': 1}
